ACCESSION_NUMBER	MONTHLY_TOTAL_RETURN_ID	CLASS_ID	MONTHLY_TOTAL_RETURN1	MONTHLY_TOTAL_RETURN2	MONTHLY_TOTAL_RETURN3
0001193125-25-334097	931087	C000078493	2.06107999	2.69472	1.763272
0001193125-25-334097	931089	C000135767	2.010425	2.656885	1.754498
0001193125-25-334136	931202	C000096498	1.820425	1.84804	1.395392
0001193125-25-334136	931209	C000096506	1.91419999	1.92734399	1.487285
0001193125-25-334136	931210	C000096507	1.889505	1.922623	1.43626399
0000734383-25-000145	928279	C000008012	3.47826	.17065278	-2.59093173
0001004655-25-000255	928296	C000209802	3.70828	1.96116893	-.32925682
0002071691-25-007797	919886	C000010746	.263585	3.576527	1.24226
0002071691-25-007782	919963	C000033526	3.526359	1.332772	3.495004
0000940400-25-014474	928382	C000012437	1.39	1.04	.71
0000857489-25-000152	928234	C000015903	3.92012	2.23958137	.25581395
0000898745-25-000869	927124	C000019317	.66	-1.44	-4.24
0000898745-25-000869	927127	C000175482	.71	-1.44	-4.21
0001004726-25-003167	927824	C000128677	2.57	3.22	.88
0001193125-25-293300	911519	C000025101	-.34684	1.327718	.87221
0002071691-25-006469	911929	C000018531	1.5340382	2.121448	1.2028758
0000035402-25-001447	906454	C000100043	1.56	-.27	1.18
0001193125-25-251553	904720	C000026235	8.32353599	.95762099	2.09673699
0001193125-25-251553	904727	C000026243	8.33123999	.95712	2.09383999
0001193125-25-251558	904806	C000024479	5.201969	-.12688	2.330818
0001193125-25-251558	904811	C000024485	5.26012	-.059278	2.367242
0001193125-25-251558	904820	C000179982	5.29791199	-.02568599	2.423294
0001193125-25-251558	904822	C000189630	5.28899499	-.02527499	2.410646
0001021882-25-000207	905856	C000080853	1.89522	.18582	1.34071
0000036405-25-000239	913933	C000034428	2.41612	-.7177	1.70648983
0000036405-25-000243	913996	C000007779	2.53433	4.07062	2.03140973
0000036405-25-000240	914022	C000007802	1.73188	5.19126	.39496711
0000035402-25-001351	906204	C000254529	4.17	1.67	1.56
0001193125-25-293564	912468	C000023927	2.75417599	1.2444	2.739952
0001193125-25-293564	912470	C000121511	2.73301999	1.225124	2.72261999
0000035402-25-002136	914378	C000064233	3.16	.25	2.6
0000035402-25-002187	914597	C000157967	.67	2.55	3.25
0000752177-25-000258	913875	C000034441	.87607	2.8406	3.3075299
0000036405-25-000234	913899	C000007775	.15947	3.44478	2.30338913
0000940400-25-010613	915514	C000012037	1.62	3.39	.45
0001410368-25-032006	917858	C000201048	-1.01	3.65	6.69
0000777535-25-000042	917874	C000154474	.922716	1.94414	3.364892
0001193125-25-251557	904850	C000025148	1.06844	-.43436799	1.38409999
0001193125-25-251557	904855	C000025154	1.200348	-.379107	1.358048
0001193125-25-251557	904864	C000179993	1.154746	-.342498	1.475072
0002071691-25-003685	905039	C000102727	6.8	3.62	-.76
0002071691-25-003685	905040	C000006430	6.76	3.59	-.79
0000035402-25-002150	914458	C000182209	.54	1.98	2.67
0001193125-25-293305	911423	C000023939	.85165999	1.527412	2.892812
0001193125-25-293305	911435	C000148414	.87615999	1.549238	2.92736
0001193125-25-293318	911576	C000026307	.503606	1.86626499	2.996564
0001193125-25-293318	911582	C000026315	.48247799	1.86924	2.97498799
0001193125-25-293287	911536	C000164459	-.645511	1.62479599	.529222
0001193125-25-293287	911537	C000164460	-.645052	1.623275	.700496
0001193125-25-293287	911543	C000164466	-.644825	1.62151999	.60876799
0001193125-25-293287	911552	C000179994	-.645052	1.623275	.62563499
0000035402-25-001403	906325	C000064276	4.15	1.95	1.08
0001099263-25-003601	915725	C000005455	3.29	.62	4.5
0002071691-25-003738	905713	C000052220	.651061	-.251407	.800972
0001099263-25-003630	915711	C000005424	3.63	.64	3.52
0001193125-25-251548	904683	C000024008	6.41449199	2.43598299	1.071159
0001193125-25-251548	904688	C000024015	6.34941599	2.394431	1.03962499
0001193125-25-251548	904690	C000068557	6.40563999	2.425188	1.08488
0001193125-25-251548	904693	C000164827	6.40228399	2.450166	1.051034
0001193125-25-251548	904697	C000220528	6.39482299	2.43521	1.07718799
0001193125-25-251548	904698	C000220529	6.396612	2.43501799	1.076215
0001410368-25-028395	910562	C000105869	3.49	.54	12.49
0002071691-25-007650	918542	C000202277	.580766	1.27102	.6996
0001410368-25-017052	903479	C000002268	2.23	-.74	3.69
0001410368-25-017052	903482	C000033014	2.32	-.64	3.78
0001193125-25-293282	911374	C000025052	1.722645	.94154	3.593546
0001193125-25-293282	911377	C000025055	1.815934	1.01455999	3.69254799
0001193125-25-293282	911387	C000164826	1.805389	1.02472	3.673875
